id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg,via
184af785-59d7-44b3-aa77-31a8d724dc2b,comune-di-sulmona,Comune di Sulmona,2,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
2d9eea42-cb60-48fd-9a8a-36ad3691a0ac,citta-metropolitana-di-catania,Citta Metropolitana di Catania,11,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
79d608ae-ea96-4736-9393-4154086f2e23,comune-di-treviglio,Comune di Treviglio,41,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
8c5d1e2f-95c7-4bc4-aeaf-ec34a5b31313,azienda-socio-sanitaria-territoriale-della-brianza,Azienda Socio Sanitaria Territoriale della Brianza,1,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
a28cb2eb-0bcc-4cb9-9d3e-6cebe2b4511c,comune-di-palermo,Comune di Palermo,1,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
ab0d75c7-04eb-4b48-b811-d4ca97bf1406,politecnico-di-torino,Politecnico di Torino,2,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
bc5f05ae-4696-4db9-985a-88a78eab0da9,comune-di-beinasco,Comune di Beinasco,1,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
ccc8eb67-5b1d-460c-be0c-1a698c9597aa,universita-della-calabria,Universita della Calabria,2,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
f1086794-56a8-4455-9136-cb23744c0ff2,agenzia-di-tutela-della-salute-di-brescia,Agenzia di Tutela della Salute di Brescia,1,405.0,100.0,100.0,100.0,110.0,75.0,20.0,,,,,,
f9cc510c-3548-4f1f-8b24-d0182de48f33,universita-di-bologna,Universita di Bologna,14,399.29,98.59,100.0,100.0,104.29,75.0,20.0,,,,,,
585452e2-12b4-4187-89d6-c33068eff19f,regione-puglia,Regione Puglia,29,386.03,95.32,100.0,82.76,108.28,75.0,20.0,,,,,,
c25963f5-2065-4819-9072-35a021ed3d11,regione-emilia-romagna,Regione Emilia Romagna,68,385.15,95.1,100.0,90.59,99.71,74.85,20.0,,,,,,
1419afad-d904-4313-957b-2c933ed3fd3b,regione-campania,Regione Campania,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,,,,,,
84f13bc0-e106-476f-8f32-19e5c15e8499,regione-umbria,Regione Umbria,66,378.33,93.41,100.0,85.45,97.88,75.0,20.0,,,,,,
cf59d4fe-9521-4f97-b463-c2e8f1d4e647,ministero-del-lavoro,Ministero del Lavoro,83,375.0,92.59,100.0,100.0,80.0,75.0,20.0,,,,,,
58f47ff9-996f-418a-938d-da7ac109079d,agenzia-nazionale-per-la-meteorologia-e-climatologia-italiameteo,Agenzia Nazionale per la Meteorologia e Climatologia Italiameteo,5,373.0,92.1,100.0,100.0,78.0,75.0,20.0,,,,,,
656fad7d-c016-477c-a24e-d441a71f1437,ministero-dell-economia-e-delle-finanze,Ministero dell'Economia e delle Finanze,9,360.56,89.03,100.0,55.56,110.0,75.0,20.0,,,,,,
4188f7ff-0b05-4dbf-982e-9a6d99da7bc6,provincia-autonoma-di-bolzano,Provincia Autonoma di Bolzano,70,356.14,87.94,100.0,100.0,61.14,75.0,20.0,,,,,,
8c4b1fbd-cff7-4ec1-a4a0-8bfe778e1f89,regione-calabria,Regione Calabria,1,355.0,87.65,100.0,100.0,60.0,75.0,20.0,,,,,,
9bcd4050-eecd-400b-8196-cd4db7b38c58,regione-toscana,Regione Toscana,91,353.02,87.17,100.0,73.41,89.45,71.37,18.79,,,,,,
d605ab5c-50bd-4895-bace-4ac93714032c,regione-basilicata,Regione Basilicata,172,348.2,85.98,98.78,46.51,107.91,75.0,20.0,,,,,,
24f39537-efc7-4c06-bb10-efd2d2f27ac3,camera-di-commercio-delle-marche,Camera di Commercio delle Marche,5,345.0,85.19,100.0,100.0,60.0,65.0,20.0,,,,,,
94b9330e-0382-4d23-a8f6-03c80ac74355,roma-capitale,Roma Capitale,5,341.0,84.2,100.0,36.0,110.0,75.0,20.0,,,,,,
2bbf9fca-aef9-4264-b4ef-31848f2cf206,regione-marche,Regione Marche,43,328.49,81.11,100.0,31.16,102.33,75.0,20.0,,,,,,
0c8ebe34-c765-43c0-8deb-67940890204a,ministero-dei-beni-culturali,Ministero dei Beni Culturali,1,325.0,80.25,100.0,20.0,110.0,75.0,20.0,,,,,,
e29d26ff-c0a3-4035-8566-63f1a6962b41,regione-veneto,Regione Veneto,17,325.0,80.25,100.0,20.0,110.0,75.0,20.0,,,,,,
f804b34c-a5f7-42ca-bde2-82a0bcadd55e,comune-di-torino,Comune di Torino,20,324.0,80.0,100.0,28.0,101.0,75.0,20.0,,,,,,
da926247-2672-4f13-9da2-bab96a552511,geodati-rndt-hvd,Geodati Rndt Hvd,2,300.0,74.07,100.0,20.0,85.0,75.0,20.0,,,,,,
226f7e4e-979f-4e43-bcdc-7396b79248ec,comune-di-genova,Comune di Genova,1,275.0,67.9,100.0,20.0,60.0,75.0,20.0,,,,,,
e4d3417e-3254-400a-9d80-6b4c890e1615,ministero-dell-istruzione,Ministero dell'Istruzione,12,225.0,55.56,100.0,0.0,30.0,75.0,20.0,,,,,,
e4946893-e692-4a22-a460-039f524c0f6e,comune-di-chivasso,Comune di Chivasso,1,185.0,45.68,100.0,0.0,30.0,45.0,10.0,,,,,,
