publisher,n_dataset,media,pct,mediana,min,max,rating,n_excellent,n_bad
"DIREZIONE REGIONALE PROGRAMMAZIONE, BILANCIO, RISORSE UMANE, CULTURA, AGENDA DIGITALE | SERVIZIO: Transizione digitale, sistema informativo regionale, governo dei dati, facilitazione digitale",1,405.0,100.0,405,405,405,Excellent,1,0
Centro studi Città di Foligno,1,405.0,100.0,405,405,405,Excellent,1,0
"Direzione regionale Sviluppo economico, Agricoltura, Lavoro, Istruzione, Agenda Digitale | Servizio Agricoltura sostenibile e servizi fitosanitari",1,405.0,100.0,405,405,405,Excellent,1,0
Anci - Associazione Nazionale Comuni Italiani,1,405.0,100.0,405,405,405,Excellent,1,0
PO CED,2,405.0,100.0,405,405,405,Excellent,2,0
"Direzione regionale Sviluppo Economico, agricoltura, lavoro,istruzione e agenda digitale",1,405.0,100.0,405,405,405,Excellent,1,0
Comune di Treviglio,44,398.18,98.32,405,305,405,Excellent,41,0
Unione dei Comuni del Pratomagno,6,395.0,97.53,405,385,405,Excellent,6,0
Istituto Nazionale di Previdenza Sociale,3782,393.58,97.18,385,385,405,Excellent,3782,0
"Dipartimento di Ingegneria Informatica, Modellistica, Elettronica e Sistemistica",5,393.0,97.04,385,385,405,Excellent,5,0
Ufficio Commercio,10,391.0,96.54,385,385,405,Excellent,10,0
Comune di San Giovanni Valdarno,29,390.86,96.51,385,355,405,Excellent,29,0
Comune di Sulmona,12,388.33,95.88,385,385,405,Excellent,12,0
Comune di Fosdinovo,17,387.35,95.64,385,385,405,Excellent,17,0
Agenzia di Tutela della Salute di Brescia,10,387.0,95.56,385,385,405,Excellent,10,0
ASL TA,12,386.67,95.47,385,385,405,Excellent,12,0
Comune di Vaiano,18,385.0,95.06,385,365,405,Excellent,18,0
Servizi Sociali Pubblica Istruzione,5,385.0,95.06,385,385,385,Excellent,5,0
Ufficio LL.PP.,1,385.0,95.06,385,385,385,Excellent,1,0
Arpa Puglia - Direzione Scientifica - Centro Regionale Mare,9,385.0,95.06,385,385,385,Excellent,9,0
